iter	Logloss
0	0.6929503123
1	0.6927693544
2	0.6925772507
3	0.692509891
4	0.6921609313
5	0.6919524217
6	0.691714367
7	0.6915581174
8	0.6914596719
9	0.6913201216
10	0.6912318838
11	0.6910935493
12	0.6910056309
13	0.6909160351
14	0.6908371813
15	0.6906978579
16	0.6901862541
17	0.6901195243
18	0.6899570998
19	0.6896622866
20	0.6892836461
21	0.6890544227
22	0.6889238745
23	0.68870976
24	0.6885609042
25	0.6883669857
26	0.6882864841
27	0.6882122421
28	0.6880972767
29	0.6879143146
30	0.6877362882
31	0.6876562932
32	0.6874539764
33	0.6873475837
34	0.6872285072
35	0.6870919345
36	0.6870173435
37	0.686795607
38	0.6866041905
39	0.6864680847
40	0.6862738042
41	0.6859975506
42	0.6859227998
43	0.6857882323
44	0.6857080898
45	0.685534478
46	0.6855300012
47	0.685328064
48	0.6851416692
49	0.6850492594
50	0.6848787355
51	0.6845161707
52	0.6842610828
53	0.6842212107
54	0.6840545346
55	0.6839561528
56	0.6838386502
57	0.6836143782
58	0.6834726669
59	0.6833416384
60	0.6831621334
61	0.6829696957
62	0.6828297186
63	0.6826385048
64	0.6821557205
65	0.6818006936
66	0.681673319
67	0.6815085786
68	0.68132988
69	0.681260978
70	0.6810667582
71	0.6808808274
72	0.6807689487
73	0.6806636546
74	0.6805208739
75	0.6801744527
76	0.6799868053
77	0.6796282512
78	0.6793589802
79	0.679120947
80	0.6788310917
81	0.6786520833
82	0.6782638711
83	0.6781244728
84	0.6780053047
85	0.6778587687
86	0.6776824435
87	0.6775461171
88	0.6773575402
89	0.6771517773
90	0.6770580932
91	0.6769360946
92	0.6767938956
93	0.6764626424
94	0.6763224919
95	0.6762503722
96	0.6761372674
97	0.6759966635
98	0.6758615009
99	0.6756909962
