iter	Passed	Remaining
0	0	97
1	1	78
2	2	73
3	2	68
4	3	65
5	4	63
6	4	62
7	5	61
8	5	60
9	6	60
10	7	59
11	7	57
12	8	56
13	9	55
14	9	54
15	10	53
16	11	54
17	11	53
18	12	52
19	12	51
20	13	50
21	14	50
22	14	49
23	15	49
24	16	48
25	16	48
26	17	47
27	18	46
28	18	45
29	19	45
30	19	44
31	20	43
32	21	42
33	21	42
34	22	41
35	23	40
36	23	40
37	24	39
38	24	38
39	25	38
40	26	37
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	58	5
91	58	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	64	0
